,titulos,urls,precios
0,Pc Armada Gamer Amd Ryzen 5 5600g/16gb/480gb/off+win10/wifi,https://articulo.mercadolibre.com.ar/MLA-1207105350-pc-armada-gamer-amd-ryzen-5-5600g16gb480gboffwin10wifi-_JM#reco_item_pos=0&reco_backend=best-seller&reco_backend_type=low_level&reco_client=highlights-rankings&reco_id=7b0515a6-2e00-4942-8f9d-a672199e64fd#trends_tracking_id=5df00539-7cfa-4dd5-9992-107c2cd1d14b&component_id=BEST_SELLER,561.000
1,Computadora Cpu Armada Intel Core I5 8 Gb 240 Gb Ssd,https://articulo.mercadolibre.com.ar/MLA-860966940-computadora-cpu-armada-intel-core-i5-8-gb-240-gb-ssd-_JM#reco_item_pos=1&reco_backend=best-seller&reco_backend_type=low_level&reco_client=highlights-rankings&reco_id=7b0515a6-2e00-4942-8f9d-a672199e64fd#trends_tracking_id=5df00539-7cfa-4dd5-9992-107c2cd1d14b&component_id=BEST_SELLER,299.900
2,Computadora Cpu Armada Intel Core I5 16 Gb 480 Gb Ssd,https://articulo.mercadolibre.com.ar/MLA-1115174636-computadora-cpu-armada-intel-core-i5-16-gb-480-gb-ssd-_JM#reco_item_pos=2&reco_backend=best-seller&reco_backend_type=low_level&reco_client=highlights-rankings&reco_id=7b0515a6-2e00-4942-8f9d-a672199e64fd#trends_tracking_id=5df00539-7cfa-4dd5-9992-107c2cd1d14b&component_id=BEST_SELLER,349.890
3,Pc Armada Intel Core I5 8gb Ssd240 W10 Office,https://articulo.mercadolibre.com.ar/MLA-874819289-pc-armada-intel-core-i5-8gb-ssd240-w10-office-_JM#reco_item_pos=3&reco_backend=best-seller&reco_backend_type=low_level&reco_client=highlights-rankings&reco_id=7b0515a6-2e00-4942-8f9d-a672199e64fd#trends_tracking_id=5df00539-7cfa-4dd5-9992-107c2cd1d14b&component_id=BEST_SELLER,281.202
4,Computadora Completa Hp Dual Core - 8gb Ram Lcd 17,https://articulo.mercadolibre.com.ar/MLA-1169090990-computadora-completa-hp-dual-core-8gb-ram-lcd-17-_JM#reco_item_pos=4&reco_backend=best-seller&reco_backend_type=low_level&reco_client=highlights-rankings&reco_id=7b0515a6-2e00-4942-8f9d-a672199e64fd#trends_tracking_id=5df00539-7cfa-4dd5-9992-107c2cd1d14b&component_id=BEST_SELLER,242.403
5,Pc Gamer Ryzen 5 4600g A320m 8gb Ssd 240gb Gabinete Kit,https://articulo.mercadolibre.com.ar/MLA-1138510067-pc-gamer-ryzen-5-4600g-a320m-8gb-ssd-240gb-gabinete-kit-_JM#reco_item_pos=5&reco_backend=best-seller&reco_backend_type=low_level&reco_client=highlights-rankings&reco_id=7b0515a6-2e00-4942-8f9d-a672199e64fd#trends_tracking_id=5df00539-7cfa-4dd5-9992-107c2cd1d14b&component_id=BEST_SELLER,345.402
